LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.1763185,36.1500784,44762,SUN VALLEY DRIVE,,King City,,,93930,,88a406b2f9a5810e
-121.1348926,36.2120123,310,WINDSOR COURT,,King City,,,93930,,85a5e8aab774ebf4
-121.9022428,36.6115532,498,LAINE STREET,,Monterey,,,93940,,718c7b2663733afa
-121.6190601,36.6911313,719,GARNER AVENUE,1,Salinas,,,93905,,0f0a0059614da21a
-121.9095708,36.5874929,290,MAR VISTA DRIVE,,Monterey,,,93940,,a5d4eb685b6bba92
-121.8330915,36.6080669,1542,HARDING STREET,,Seaside,,,93955,,20aae818712ada80
-121.6505474,36.7049288,424,NOICE DRIVE,63,Salinas,,,93906,,c7659fc047d591b6
-121.7878994,36.6904013,3239,ISLA DEL SOL WAY,,Marina,,,93933,,7852863d13077e50
-121.1439255,36.2061347,1309,CAMBRIDGE AVENUE,,King City,,,93930,,49362339ae012bfa
-121.1284776,36.2145146,314,ELLIS STREET,,King City,,,93930,,30e44013126e605a
-121.1312877,36.2135533,315,N RUSS AVENUE,,King City,,,93930,,f64db5dcc0993e30
-121.1220872,36.2092706,215,DIVISION STREET,,King City,,,93930,,de7f6e09d62b65ca
-121.1424603,36.2068035,1218,AMHERST DRIVE,,King City,,,93930,,2c33b5ee44307644
-121.1258226,36.2081159,431,PARK PLACE,,King City,,,93930,,c5dfb0d80bc24fe4
-121.1314525,36.2151229,420,N RUSS AVENUE,,King City,,,93930,,92f31bb3d46a4b66
-121.1443208,36.2043785,1265,BLUFF AVENUE,,King City,,,93930,,04205e3ac4899f86
-121.1514289,36.1747352,46327,PINE MEADOW DRIVE,,King City,,,93930,,345202a6cf64e2a0
-121.7417273,36.6559223,13314,WARREN AVENUE,,East Garrison,,,93933,,b2e16485f1ed925c
-121.5987442,36.6942639,966,ROCKROSE STREET,,Salinas,,,93905,,b80675be2565c5fc
-121.7416122,36.6562259,13317,WARREN AVENUE,,East Garrison,,,93933,,78e4b48309c0f940
-121.6083704,36.6905541,780,ELKINGTON AVENUE,D,Salinas,,,93905,,a68bb9e1fc71b136
-121.8763417,36.5369201,22,HACIENDA CARMEL,,Carmel,,,93923,,c39f07ceffe67058
-121.8026786,36.6432545,105,MALMEDY ROAD,,Seaside,,,93955,,d6ae18bbf2fb61a2
-121.7415885,36.6559326,13318,WARREN AVENUE,,East Garrison,,,93933,,800307564ae73d36
-121.6558214,36.655713,172,RIO VERDE DRIVE,,Salinas,,,93901,,3843b23ae93fbc5c
-121.7414771,36.656218,13321,WARREN AVENUE,,East Garrison,,,93933,,c3aa927a0aff19ca
